"","PARTY","educ","race","Voted_2020","gender","FT_DemParty","FT_RepParty","FT_Biden_pre","FT_Trump_pre","FT_Biden_post","FT_Trump_post","FT_Fauci","FT_fundamentalist","FT_Feminists","FT_Liberals","FT_laborUnions","FT_bigBusiness","FT_conservatives","FT_SCOTUS","FT_gaymen","FT_Congress","FT_Muslims","FT_Christians","FT_Jewish","FT_police","FT_Transpeople","FT_Scientist","FT_BLM","FT_journalists","FT_NATO","FT_UN","FT_NRA","FT_Socialist","FT_capitalist","FT_FBI","FT_ICE","FT_MeToo","FT_rural","FT_Parent","FT_WHO","FT_CDC"
"3702","Democrat","Bachelor's Degree","White",TRUE,"Male",60,30,60,15,70,15,85,40,60,70,50,50,30,50,50,50,40,50,50,60,50,70,50,50,85,85,30,50,60,60,85,50,50,85,85,85
"3703","Republican","Bachelor's Degree","White",TRUE,"Female",0,60,0,100,2,100,23,67,10,0,5,15,90,60,50,15,15,87,90,70,2,40,1,8,30,0,73,0,77,20,98,30,92,0,12,33
"3704","Democrat","High School","Black",TRUE,"Male",50,15,50,0,70,30,85,60,40,60,85,60,85,70,60,70,60,70,70,85,60,60,40,60,NA,60,70,60,60,60,60,NA,NA,70,60,60
"3705","Republican","Some College","White",TRUE,"Male",0,100,0,100,0,100,50,50,50,30,50,70,50,60,50,30,40,50,50,85,50,60,30,30,NA,NA,100,50,50,85,50,NA,50,60,50,50
"3706","Republican","Bachelor's Degree","White",TRUE,"Female",0,50,0,70,0,85,40,50,40,15,40,30,50,40,50,15,50,60,50,70,50,50,15,30,40,15,70,0,60,15,60,50,85,15,15,40
"3707","Democrat","Some College","White",FALSE,"Female",70,50,85,40,NA,15,100,60,70,50,50,50,70,100,30,40,50,100,70,85,50,85,85,85,50,50,40,15,50,85,0,NA,85,50,85,100
"3708","Democrat","Some College","Black",FALSE,"Female",85,50,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3709","Republican","Bachelor's Degree","Hispanic",TRUE,"Male",15,60,30,70,15,85,85,60,50,40,85,70,85,70,50,70,50,70,50,85,50,85,15,70,70,85,85,50,50,85,100,85,85,60,85,85
"3710","Independent","High School","White",FALSE,"Female",50,50,50,30,50,40,NA,85,70,50,85,70,NA,50,70,60,50,85,50,70,60,70,100,60,NA,100,70,NA,70,100,50,NA,NA,100,100,100
"3711","Democrat","Some College","White",TRUE,"Female",85,15,100,0,70,0,100,60,70,50,70,60,70,85,60,60,60,85,70,85,70,85,70,70,85,85,60,50,50,85,60,85,100,100,100,100
"3712","Independent","Less than High School","Hispanic",TRUE,"Female",40,40,50,60,50,50,50,40,85,50,50,50,50,50,100,40,50,75,50,100,100,50,50,40,50,50,70,50,50,60,85,NA,NA,100,NA,85
"3713","Democrat","Some College","Black",FALSE,"Female",85,15,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3714","Independent","High School","White",FALSE,"Male",50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3715","Republican","Some College","White",TRUE,"Female",5,70,30,80,30,85,30,50,50,30,40,70,85,70,50,40,50,50,50,85,50,85,50,15,60,50,85,50,50,70,50,50,80,50,50,70
"3716","Republican","Graduate Degree","White",TRUE,"Male",40,85,0,85,15,60,15,60,60,15,85,30,85,40,40,40,40,100,100,85,40,70,0,30,70,70,85,15,85,85,60,100,85,40,50,30
"3717","Democrat","Graduate Degree","White",FALSE,"Female",60,40,85,0,85,30,70,40,100,85,60,60,60,85,100,60,100,100,100,70,100,100,85,70,100,100,60,40,40,85,40,100,100,100,100,85
"3718","Republican","Graduate Degree","White",FALSE,"Male",60,60,70,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
